transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2026-01-13 11:16:24,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,15.171.130.106,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/17.9t7681.0 Mobile/42A473 Safari/533.2",1,1491,True,1,retail,False,2026-01-15
TXN00000002,4754,465,14.29,MXN,approved,2026-02-15 09:30:09,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,168.95.44.249,Opera/8.78.(Windows NT 5.2; nhn-MX) Presto/2.9.171 Version/11.00,1,2275,True,1,other,False,2026-02-16
TXN00000003,2912,586,78.59,USD,approved,2026-03-06 03:19:50,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,18.208.150.120,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/11.9g1953.0 Mobile/75L028 Safari/536.1",1,2010,,1,other,True,2026-03-08
TXN00000005,8637,677,30.44,CLP,approved,2026-01-13 01:04:55,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,64.190.131.116,API/1.0,1,1920,,1,entertainment,False,2026-01-14
TXN00000006,1380,918,24.15,MXN,approved,2026-02-15 09:55:57,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,6.54.233.109,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.1),1,2105,True,1,retail,False,2026-02-17
TXN00000007,4426,940,22.24,COP,approved,2026-02-12 23:28:23,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,222.119.202.130,Mozilla/5.0 (Android 4.2.1; Mobile; rv:12.0) Gecko/12.0 Firefox/12.0,1,602,True,1,services,False,2026-02-14
TXN00000008,8087,354,20.61,BRL,approved,2026-02-01 21:02:03,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,78.54.195.142,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.1),1,2856,True,1,utilities,False,2026-02-02
TXN00000009,2684,589,94.06,USD,approved,2026-02-01 07:17:22,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,104.193.196.42,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/4706-07-22 21:03:48 Firefox/3.6.3,1,1304,True,12,tech,True,2026-02-03
TXN00000010,4502,636,20.96,COP,approved,2026-02-23 05:42:12,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,24.87.246.239,"Mozilla/5.0 (Linux; Android 4.4.3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/60.0.809.0 Safari/535.0",1,2226,,1,food_beverage,False,2026-02-24
TXN00000011,3172,412,66.55,BRL,approved,2026-01-07 10:59:15,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,208.183.97.177,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/3.1),1,2885,False,1,services,False,2026-01-08
TXN00000012,6975,945,65.29,PEN,approved,2026-01-22 12:44:08,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,7.29.175.106,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ka-GE) AppleWebKit/533.12.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.12.3",1,2210,False,6,food_beverage,False,2026-01-23
TXN00000014,8136,916,174.97,PEN,approved,2026-02-09 13:54:46,debit_card,Mastercard Debit,PE,00,Transaction approved,3.24,5.67,169.3,mobile,166.121.111.244,Opera/8.55.(Windows NT 10.0; ps-AF) Presto/2.9.162 Version/11.00,1,2286,True,1,entertainment,False,2026-02-10
TXN00000015,2737,996,27.37,MXN,approved,2026-02-07 19:11:21,credit_card,Diners Club,MX,00,Transaction approved,3.43,0.94,26.43,mobile,131.24.104.188,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/55.0.802.0 Safari/535.1",1,2634,True,1,tech,False,2026-02-09
TXN00000016,685,247,67.09,COP,approved,2026-03-30 00:21:09,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,93.10.228.227,Opera/9.93.(Windows 98; gv-GB) Presto/2.9.177 Version/12.00,1,1399,,1,services,False,2026-04-01
TXN00000017,475,694,126.95,BRL,approved,2026-03-30 20:20:05,credit_card,Visa,BR,00,Transaction approved,2.89,3.67,123.28,desktop,52.117.1.168,Opera/8.10.(X11; Linux x86_64; mn-MN) Presto/2.9.176 Version/11.00,1,1183,True,1,entertainment,False,2026-04-01
TXN00000018,5641,124,61.49,COP,approved,2026-03-16 01:46:21,credit_card,American Express,CO,00,Transaction approved,3.24,1.99,59.5,mobile,211.55.245.144,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),1,1372,True,6,tech,False,2026-03-18
TXN00000019,3821,602,140.6,COP,approved,2026-03-23 11:11:59,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,42.54.94.136,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/533.48.1 (KHTML, like Gecko) Version/5.0 Safari/533.48.1",1,2482,True,12,travel,False,2026-03-25
