transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2026-01-13 11:47:17,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,4.133.208.251,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3 rv:5.0; th-TH) AppleWebKit/534.32.1 (KHTML, like Gecko) Version/4.0.3 Safari/534.32.1",1,1491,True,1,retail,False,2026-01-15
TXN00000002,4754,465,14.29,MXN,approved,2026-02-15 10:01:02,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,192.171.40.192,Opera/9.67.(X11; Linux i686; hne-IN) Presto/2.9.180 Version/10.00,1,2275,True,1,other,False,2026-02-16
TXN00000003,2912,586,78.59,USD,approved,2026-03-06 03:50:43,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,68.208.74.94,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/4.0),1,2010,,1,other,True,2026-03-08
TXN00000005,8637,677,30.44,CLP,approved,2026-01-13 01:35:48,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,186.173.69.37,API/1.0,1,1920,,1,entertainment,False,2026-01-14
TXN00000006,1380,918,24.15,MXN,approved,2026-02-15 10:26:50,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,157.78.220.139,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.0),1,2105,True,1,retail,False,2026-02-17
TXN00000007,4426,940,22.24,COP,approved,2026-02-12 23:59:16,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,6.129.212.121,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_5; rv:1.9.2.20) Gecko/3135-02-02 23:32:54 Firefox/14.0,1,602,True,1,services,False,2026-02-14
TXN00000008,8087,354,20.61,BRL,approved,2026-02-01 21:32:56,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,4.86.235.121,"Mozilla/5.0 (iPad; CPU iPad OS 17_1_1 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/10.2i9433.0 Mobile/70M653 Safari/533.1",1,2856,True,1,utilities,False,2026-02-02
TXN00000009,2684,589,94.06,USD,approved,2026-02-01 07:48:15,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,68.154.144.234,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; et-EE) AppleWebKit/535.35.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6535.35.5",1,1304,True,12,tech,True,2026-02-03
TXN00000010,4502,636,20.96,COP,approved,2026-02-23 06:13:05,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,182.91.84.225,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 11.0; Trident/4.1),1,2226,,1,food_beverage,False,2026-02-24
TXN00000011,3172,412,66.55,BRL,approved,2026-01-07 11:30:08,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,65.100.89.51,Opera/9.77.(X11; Linux x86_64; hsb-DE) Presto/2.9.184 Version/10.00,1,2885,False,1,services,False,2026-01-08
